id,aisle_id,section_num,is_inventory,svg_x,svg_y,svg_width,svg_height,sort_order,created_at,updated_at
494,16,65,t,1470.4014,3000.115,82.2,21.100065,0,2026-06-01 19:59:54.601003,2026-06-01 20:45:22.816
495,14,63,t,1470.154,2841.4963,82.16451,21.288998,0,2026-06-01 19:59:54.602499,2026-06-26 19:56:56.361
496,14,53,t,1894.9489,2841.396,82.16961,21.300058,0,2026-06-01 19:59:54.785626,2026-06-26 19:56:56.17
497,14,49,t,2065.0488,2841.2964,81.4995,21.300058,0,2026-06-01 19:59:54.797143,2026-06-26 19:56:56.097
498,16,61,t,1640.3015,3000.0151,82.1,20.999865,0,2026-06-01 19:59:54.798259,2026-06-01 20:45:22.738
499,14,51,t,1979.8488,2841.4854,82.36971,21.11116,0,2026-06-01 19:59:54.799544,2026-06-26 19:56:56.133
500,16,63,t,1555.315,3000.215,81.886505,20.875036,0,2026-06-01 19:59:54.801125,2026-06-01 20:45:22.776
501,16,59,t,1725.2015,2999.915,81.8999,21.199965,0,2026-06-01 19:59:54.818341,2026-06-01 20:45:22.778
502,16,57,t,1810.2015,3000.09,81.7999,21.300058,0,2026-06-01 19:59:54.830609,2026-06-01 20:45:22.732
503,16,53,t,1980.0117,2999.9678,82.1033,21.322643,0,2026-06-01 19:59:54.834702,2026-06-01 20:45:22.782
504,16,51,t,2065.0015,2999.9902,81.4995,21.300058,0,2026-06-01 19:59:54.83704,2026-06-01 20:45:22.774
505,16,55,t,1895.0013,3000.09,81.9137,21.300058,0,2026-06-01 19:59:54.838215,2026-06-01 20:45:22.781
506,14,55,t,1810.067,2841.396,81.98178,21.300058,0,2026-06-01 19:59:55.663487,2026-06-26 19:56:56.209
507,15,27,t,2667.977,2971.4705,106.01863,21.09885,0,2026-06-01 20:05:58.551572,2026-06-02 20:11:06.545
508,14,43,t,2340.9397,2841.5774,106.361115,21.300058,0,2026-06-01 20:05:58.552347,2026-06-26 19:56:02.65
509,15,25,t,2559.085,2971.0986,106.01863,21.300058,0,2026-06-01 20:05:58.552957,2026-06-02 20:10:59.832
510,15,29,t,2776.9119,2971.3276,106.01863,21.300058,0,2026-06-01 20:05:58.553542,2026-06-02 20:11:11.964
511,15,23,t,2450.252,2971.328,106.01863,21.300058,0,2026-06-01 20:05:58.553704,2026-06-02 20:10:51.441
512,15,31,t,2886.0608,2971.3982,104.15479,21.300058,0,2026-06-01 20:05:58.553968,2026-06-02 20:11:16.054
513,14,41,t,2450.058,2841.9854,106.44272,20.899899,0,2026-06-01 20:05:58.61873,2026-06-26 19:56:02.615
514,14,37,t,2667.995,2841.6719,106.20571,21.4,0,2026-06-01 20:05:58.636055,2026-06-26 19:56:02.407
515,14,45,t,2233.4834,2841.616,104.51742,21.300058,0,2026-06-01 20:05:58.637334,2026-06-26 19:56:02.701
516,14,39,t,2559.1765,2842.0063,106.01863,21.092161,0,2026-06-01 20:05:58.638729,2026-06-26 19:56:02.443
517,14,35,t,2777.2654,2841.772,105.66696,21.4,0,2026-06-01 20:05:58.64004,2026-06-26 19:56:02.37
518,14,33,t,2885.932,2841.678,104.46892,21.300058,0,2026-06-01 20:05:58.640727,2026-06-26 19:56:02.32
519,15,19,t,2233.549,2971.2935,104.35228,21.300058,0,2026-06-01 20:05:58.652065,2026-06-02 20:10:40.634
520,15,21,t,2341.148,2971.3694,106.01863,21.058706,0,2026-06-01 20:05:58.66891,2026-06-02 20:10:46.57
521,14,25,t,3293.3333,2841.6357,87.79897,21.011726,0,2026-06-01 20:13:42.908883,2026-06-26 19:52:29.62
522,14,21,t,3474.7644,2841.3977,87.66481,21.204905,0,2026-06-01 20:13:42.910624,2026-06-26 19:52:29.539
524,14,19,t,3565.63,2841.6357,87.70308,21.011726,0,2026-06-01 20:13:42.911548,2026-06-26 19:52:29.497
525,14,27,t,3202.6187,2841.4353,87.66199,21.148687,0,2026-06-01 20:13:42.911845,2026-06-26 19:52:29.657
526,14,23,t,3384.229,2841.4358,87.65008,21.348186,0,2026-06-01 20:13:42.91493,2026-06-26 19:52:29.582
527,14,26,t,3293.2808,2743.0398,87.79897,21.011726,0,2026-06-01 20:13:42.943554,2026-06-26 19:47:11.209
528,14,24,t,3384.2295,2742.9397,87.749435,21.253649,0,2026-06-01 20:13:42.946568,2026-06-26 19:47:11.211
529,14,22,t,3474.6433,2743.0974,87.87084,21.011726,0,2026-06-01 20:13:42.947887,2026-06-26 19:47:11.219
531,14,12,t,3921.808,2742.986,78.7,21.011726,0,2026-06-01 20:19:41.152934,2026-06-26 19:46:21.516
532,14,14,t,3840.227,2743.162,78.7,21.011726,0,2026-06-01 20:19:41.152802,2026-06-26 19:46:21.57
533,14,10,t,4003.3367,2742.962,78.7,21.011726,0,2026-06-01 20:19:41.153443,2026-06-26 19:46:21.482
534,14,16,t,3758.6458,2742.9658,78.7,21.207897,0,2026-06-01 20:19:41.153612,2026-06-26 20:05:31.453
535,14,8,t,4084.815,2742.962,78.7,21.011726,0,2026-06-01 20:19:41.154252,2026-06-26 20:05:09.236
536,14,6,t,4166.583,2742.9739,78.47318,21.199959,0,2026-06-01 20:19:41.199637,2026-06-26 19:46:21.403
537,14,2,t,4329.9863,2743.1038,78.300186,21.011726,0,2026-06-01 20:19:41.202373,2026-06-26 20:04:57.219
538,14,4,t,4248.003,2742.986,78.953186,21.011726,0,2026-06-01 20:19:41.454702,2026-06-26 19:46:21.369
539,14,58,t,1725.2489,2742.69,81.8999,21.300058,0,2026-06-01 20:30:35.013896,2026-06-26 19:49:11.32
540,14,50,t,2065.0488,2742.6902,81.4995,21.300058,0,2026-06-01 20:30:35.016236,2026-06-26 19:49:11.322
541,14,44,t,2340.778,2742.7742,106.361115,21.300058,0,2026-06-01 20:30:35.017857,2026-06-26 19:49:39.199
542,14,52,t,1979.8488,2742.6902,82.33427,21.300058,0,2026-06-01 20:30:35.018442,2026-06-26 19:49:11.441
543,14,56,t,1810.067,2742.79,81.98178,21.300058,0,2026-06-01 20:30:35.018675,2026-06-26 19:49:11.313
544,14,54,t,1894.9489,2742.79,82.13416,21.300058,0,2026-06-01 20:30:35.020886,2026-06-26 19:49:11.444
545,14,36,t,2776.7524,2742.5742,106.01863,21.300058,0,2026-06-01 20:30:35.098845,2026-06-26 19:49:39.2
546,14,38,t,2667.8335,2742.6743,106.20571,21.300058,0,2026-06-01 20:30:35.099393,2026-06-26 19:49:39.239
547,14,46,t,2233.3218,2742.8125,104.51742,21.300058,0,2026-06-01 20:30:35.100043,2026-06-26 19:49:39.196
548,14,34,t,2885.7703,2742.8745,104.46892,21.300058,0,2026-06-01 20:30:35.101861,2026-06-26 19:49:39.203
550,14,28,t,3202.6704,2743.0913,87.79897,21.011726,0,2026-06-01 20:30:35.121891,2026-06-26 19:47:11.212
551,14,20,t,3565.524,2743.097,87.91086,21.011726,0,2026-06-01 20:30:35.142033,2026-06-26 19:47:11.205
552,14,42,t,2449.8965,2742.6743,106.44272,21.300058,0,2026-06-01 20:30:35.143596,2026-06-26 19:49:39.2
555,14,64,t,1470.1671,2742.6902,82.41597,21.191853,0,2026-06-01 20:30:35.156993,2026-06-26 19:49:11.413
556,14,62,t,1555.383,2742.7498,81.800064,21.140144,0,2026-06-01 20:30:35.159592,2026-06-26 19:49:11.321
557,14,60,t,1640.2489,2742.79,81.83417,21.300058,0,2026-06-01 20:30:35.172678,2026-06-26 19:49:11.315
558,14,40,t,2559.015,2742.7742,106.01863,21.300058,0,2026-06-01 20:30:35.176048,2026-06-26 19:49:39.204
559,15,20,t,2233.7654,2871.8223,104.20007,21.300058,0,2026-06-01 20:30:35.178024,2026-06-02 20:11:31.542
560,15,8,t,1725.3608,2871.757,81.8999,21.400017,0,2026-06-01 20:30:35.180002,2026-06-01 20:54:41.862
561,15,37,t,3202.5703,2970.9668,87.79897,21.011726,0,2026-06-01 20:30:35.188649,2026-06-02 20:12:42.912
562,15,38,t,3202.8186,2871.384,87.66199,21.148687,0,2026-06-01 20:30:35.190421,2026-06-02 20:12:11.026
563,16,46,t,2233.5498,3001.3704,104.35228,21.300058,0,2026-06-01 20:30:35.208131,2026-06-01 20:50:37.923
564,15,40,t,3293.394,2871.4475,87.937965,21.280096,0,2026-06-01 20:30:35.392123,2026-06-02 20:12:15.979
565,15,1,t,1470.4144,2969.7415,82.2,21.100065,0,2026-06-01 20:30:35.392704,2026-06-01 20:54:27.868
566,15,42,t,3384.2942,2871.584,87.78497,20.943596,0,2026-06-01 20:30:35.396058,2026-06-02 20:12:20.113
567,15,4,t,1555.2609,2871.7131,82.06961,21.2,0,2026-06-01 20:30:35.399395,2026-06-01 20:54:33.48
568,16,44,t,2341.1057,3001.3325,106.01863,21.300058,0,2026-06-01 20:30:35.426512,2026-06-01 20:50:28.665
569,16,34,t,2885.998,3001.2322,104.15479,21.300058,0,2026-06-01 20:30:35.430107,2026-06-01 20:48:45.785
570,15,44,t,3474.9644,2871.4026,87.66481,21.204905,0,2026-06-01 20:30:35.431162,2026-06-02 20:12:26.886
571,15,7,t,1725.2146,2969.7415,81.8999,21.199965,0,2026-06-01 20:30:35.431848,2026-06-01 20:55:29.426
572,15,16,t,2065.161,2871.7244,81.412544,21.300058,0,2026-06-01 20:30:35.461219,2026-06-01 20:55:01.299
573,15,3,t,1555.628,2969.6677,81.683685,21.223886,0,2026-06-01 20:30:35.462325,2026-06-01 20:55:20.706
574,15,46,t,3565.594,2871.4475,87.93898,21.180096,0,2026-06-01 20:30:35.46485,2026-06-02 20:12:30.762
575,15,9,t,1810.2146,2969.8167,81.7999,20.95105,0,2026-06-01 20:30:35.466403,2026-06-01 20:55:33.301
576,15,11,t,1894.8933,2969.7166,81.9137,21.300058,0,2026-06-01 20:30:35.493896,2026-06-01 20:55:39.266
577,15,15,t,2065.3118,2969.7168,81.00232,21.300058,0,2026-06-01 20:30:35.499992,2026-06-01 20:55:46.142
578,15,13,t,1979.9146,2969.817,82.31349,20.95075,0,2026-06-01 20:30:35.501183,2026-06-01 20:55:42.86
579,15,2,t,1470.266,2871.7134,82.16451,21.288998,0,2026-06-01 20:30:35.502329,2026-06-01 20:54:20.252
580,15,14,t,1979.9608,2871.8247,82.36971,21.11116,0,2026-06-01 20:30:35.527705,2026-06-01 20:55:07.021
